PRODUCTO;COD CENTRO;Categoría;Subcategoría;Proveedor;JRZ existencia;JRZ promedio 15 días (60d);DORAL existencia;DORAL ventas;DORAL promedio 15 días (60d);Virtude existencia;Virtude ventas;Virtude promedio 15 días (60d);Zamora existencia;Zamora ventas;Zamora promedio 15 días (60d);Centro existencia;Centro ventas;Centro promedio 15 días (60d);Sambil existencia;Sambil ventas;Sambil promedio 15 días (60d)
MORRAL BELLEZA UNICORNIO #017;#017;JUGUETERIA;JUEGUETERIA NIÑA;LUCKY CITY CENTER C.A (SUPER WIN);0;0;4;0.0;0;1;0.0;0;1;0.0;0;1;0.0;0;0;0;0
BOLSA DE REGALO GRANDE #1016G;#1016G;DECORACION Y ARREGLOS;BOLSA;LUCKY CITY CENTER C.A (SUPER WIN);15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
GANCHETA HAWAINA CON PERLA #102055;#102055;ARTICULOS DE CABELLO;COLITAS/GANCHETAS;LUCKY CITY CENTER C.A (SUPER WIN);144;0;1;35.0;2;31;5.0;0;18;18.0;2;22;14.0;0;0;0;0
CARTERA DAMA MINI UNICOLOR  #1052;#1052;CARTERAS Y BOLSOS;CARTERAS;INVERSIONES MUNDO FAMOSO VIP,C.A;0;0;0;1.0;0;1;0.0;0;4;0.0;0;2;3.0;2;0;0;0
TAZA FELIZ DIA MAMA #1127;#1127;HOGAR;VASOS;LUCKY CITY CENTER C.A (SUPER WIN);2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
RUBOR LIQUIDO DOUCCC #2501;#2501;COSMETICOS;RUBOR;nan;96;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LAZO D/COL P/CAB OSITO X12 #3833-14;#3833-14;ARTICULOS DE CABELLO;COLITAS/GANCHETAS;INVERSIONES MUNDO FAMOSO VIP,C.A;0;0;0;10.0;0;0;0;0;1;0.0;0;1;9.0;1;0;0;0
CINTILLO FINO BRILL C/PERLAS X12 #3859-2;#3859-2;ARTICULOS DE CABELLO;COLITAS/GANCHETAS;INVERSIONES MUNDO FAMOSO VIP,C.A;0;0;5;0.0;0;12;0.0;0;2;6.0;1;1;8.0;0;0;0;0
CARTERA DAMA COLORES #4251;#4251;CARTERAS Y BOLSOS;CARTERAS Y BOLSOS;INVERSIONES MUNDO FAMOSO VIP,C.A;0;0;1;0.0;0;4;0.0;0;5;0.0;0;0;1.0;0;0;0;0
CARTERA DE DAMA  ROSADO #618;#618;CARTERAS Y BOLSOS;CARTERAS;TUBOLSOPOSH;0;0;1;4.0;1;2;1.0;0;1;2.0;0;0;3.0;1;0;0;0
CARTERA DE DAMA MARRON #618;#618MARRON;CARTERAS Y BOLSOS;CARTERAS;TUBOLSOPOSH;0;0;0;2.0;0;0;3.0;0;0;1.0;0;0;4.0;2;0;0;0
CARTERA DE DAMA NEGRO #618;#618NEGRO;CARTERAS Y BOLSOS;CARTERAS;TUBOLSOPOSH;0;0;0;0;0;0;4.0;0;0;2.0;0;1;3.0;1;0;0;0
PLIEGO DE PAPEL DE REGALO;#80;ARTICULOS ESCOLARES;PAPELERIA;PAPEL PAPURRI;1166;0;1994;134.0;11;3130;44.0;4;2365;80.0;9;3476;87.0;5;0;0;0
JUEGO DE BINGO #8022;#8022;JUGUETERIA;JUEGO DIDACTICOS;LUCKY CITY CENTER C.A (SUPER WIN);0;0;1;1.0;0;0;0;0;2;0.0;0;3;0.0;0;0;0;0
MONEDERO PRADA #8304 GRIS ARCILLA;#8304-GRISARCILLA;ACCESORIOS DE VESTIR;MONEDEROS;nan;1;0;5;0.0;0;4;0.0;0;4;0.0;0;4;0.0;0;0;0;0
BANDOLERO COLOR CORAZON/FOREVER #8002-6/ #901-1;#901-1;CARTERAS Y BOLSOS;BANDOLEROS;INVERSIONES MUNDO FAMOSO VIP,C.A;0;0;2;12.0;1;1;9.0;1;10;2.0;2;1;11.0;0;0;0;0
COLA TUBO A2-1;#A2-1;ARTICULOS DE CABELLO;COLITAS/GANCHETAS;INVERSIONES MAKEUPS (SEA CENTER);0;0;5;19.0;3;22;2.0;2;13;11.0;3;23;1.0;0;0;0;0
SET BROCHAS ESCARCHADA X5 #A263;#A263;COSMETICOS;BROCHAS Y ESPONJAS;INVERSIONES MAKEUPS (SEA CENTER);0;0;0;2.0;0;6;4.0;2;0;1.0;0;0;0;0;0;0;0
PINZA #AB-1;#AB-1;ARTICULOS DE CABELLO;COLITAS/GANCHETAS;INVERSIONES MAKEUPS (SEA CENTER);0;0;1;11.0;1;12;0.0;0;8;4.0;0;5;7.0;1;0;0;0
GANCHETAS HAWAIANA #B3725-25;#B3725-25;ARTICULOS DE CABELLO;COLITAS/GANCHETAS;LUCKY CITY CENTER C.A (SUPER WIN);0;0;0;36.0;1;6;30.0;1;0;36.0;0;6;30.0;1;0;0;0
BILLETERA DE NIÑO CON RELIEVE #BR02;#BR02;ACCESORIOS DE VESTIR;BILLETERAS;INVERSIONES MUNDO FAMOSO VIP,C.A;0;0;0;1.0;0;0;0;0;0;0;0;2;0.0;0;0;0;0
BASE COAT WINCOLOR 7.5ML X12 #BW;#BW;ACCESORIOS ESTETICOS;ESMALTES;INVERSIONES MUNDO FAMOSO VIP,C.A;0;0;12;0.0;0;8;3.0;0;0;3.0;0;4;4.0;0;0;0;0
BANDOLERO DAMA DE COLOR #G1260/ #G1260-2;#G1260;CARTERAS Y BOLSOS;BANDOLEROS;INVERSIONES MUNDO FAMOSO VIP,C.A;0;0;10;8.0;2;4;14.0;3;16;2.0;0;8;10.0;0;0;0;0
JUGUETE FIGURA HULK PEQUEÑO #J8801;#J8801;nan;JUGUETERIA;INVERSIONES MUNDO FAMOSO VIP,C.A;0;0;1;0.0;0;0;0;0;0;0;0;0;0;0;0;0;0
JUGUETE FIGURA CAPITAN AMERICA PEQUEÑO #J8804;#J8804;nan;JUGUETERIA;INVERSIONES MUNDO FAMOSO VIP,C.A;0;0;1;0.0;0;0;0;0;0;0;0;1;0.0;0;0;0;0
